type	sort	type_desc	Model	Outdoor Unit	Capacity	BTUs	Refrigerant	title	sub_title	Details	Description	SEER	image
gf	7	Gas Furnaces	58HDX			60,000 - 100,000		Comfort™ 4-Way Multi-Poise 95% AFUE	Gas Furnace		95% AFUE		58HDV.jpg
gf	8	Gas Furnaces	58MXB			38000 - 128000		Comfort™ 92 Gas Furnace	Gas Furnace		95% AFUE		58MXB.jpg
gf	9	Gas Furnaces	58MCB			37000 - 127000		Gas Furnace	Gas Furnace		92% AFUE		58MCB.jpg
gf	10	Gas Furnaces	58CVA			66000 - 154000		Infinity™ 80 Variable Speed Gas Furnace	Gas Furnace		80% AFUE		58CVA.jpg
gf	11	Gas Furnaces	58CVX			66000 - 154000		Infinity™ 80 Variable Speed Gas Furnace Low-NOx	Gas Furnace		80% AFUE		58CVX.jpg
gf	12	Gas Furnaces	58PHA			44000 - 132000		Performance™ Boost 80 Gas Furnace	Gas Furnace		80% AFUE		58PHA.jpg
gf	13	Gas Furnaces	58CTA			44000 - 154000		Performance™ 80 2-Stage Gas Furnace	Gas Furnace		80% AFUE		58CTA_CTX.jpg
gf	14	Gas Furnaces	58CTX			44000 - 154000		Performance™ 80 2-Stage Gas Furnace Low-NOx	Gas Furnace		80% AFUE		58CTA_CTX.jpg
gf	15	Gas Furnaces	58DLA			44000 - 154000		Comfort™ 80 Gas Furnace	Gas Furnace		80% AFUE		Comfort80.jpg
gf	16	Gas Furnaces	58DLX			44000 - 154000		Comfort™ 80 Gas Furnace Low-NOx	Gas Furnace		80% AFUE		Comfort80.jpg
gf	17	Gas Furnaces	58STA			44000 - 154000		Gas Furnace	Gas Furnace		80% AFUE		Comfort80.jpg
gf	18	Gas Furnaces	58STX			44000 - 154000		Gas Furnace Low-NOx	Gas Furnace		80% AFUE		80.jpg
ap	1	Air Purifiers	GAPAA					Infinity Series	Air Purifier (Furnace)		Infinity Series		GAPAACC.jpg
ap	2	Air Purifiers	GAPAB					Infinity Series	Air Purifier (Fan Coil)		Infinity Series		GAPBCC.jpg
ap	3	Air Purifiers	EACB					Performance Series	Electronic Air Cleaner		Performance Series		EACB_Image.jpg
ap	4	Air Purifiers	EZXCAB					Performance Series	Air Filter with Cabinet		Performance Series		EXFlex.jpg
ap	5	Air Purifiers	FILCAB					Performance Series	Mechanical Air Cleaner		Performance Series		Carrier_Media_Cabinet_Filter_FILCAB.jpg
stats	2	Thermostats	TP-EXP01-A					Performance™ Series	Edge® ExP® module with ComfortPlanner™ software - Home edition, revision A		Performance™ Series		
stats	1	Thermostats	TP-PRH01-A					Performance™ Series	Edge® programmable Thermidistat™ Control, revision A		Performance™ Series		TP_Program.jpg
stats	3	Thermostats	TP-PHP01					Performance™ Series	Edge® programmable HP and AC capable thermostat		Performance™ Series		TP_Program.jpg
stats	4	Thermostats	TP-PAC01					Performance™ Series	Edge® programmable AC-only capable thermostat		Performance™ Series		TP_Program.jpg
stats	5	Thermostats	TP-NRH01-A					Performance™ Series	Edge® non-programmable Thermidistat™ Control, revision A		Performance™ Series		
